ID,AGEB,Clee,NUE,RS,SCIAN,NCA,EPO,TV,NV,EV1,NEV1,EV2,NEV2,EV3,NEV3,NEK,LE,E,EP,NI,LI,TAH,NAH,TCC,NCC,NL,CP,CEF,NE,CM,NM,CMZ,NT,CE ,PW,LAT,LON,FiDENUE
2979802,145,19046812110013521000000000U7,ESTETICA UNISEX,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,FRESNOS,CALLE,NOGAL,CALLE,PIRUL,CALLE,EL ROBLE,934,NaN,NaN,NaN,NaN,NaN,COLONIA,HACIENDA LOS MORALES 3 SECTOR,NaN,NaN,NaN,66495,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,14,NaN,NaN,NaN,25.7141211,-100.2437633,2014-12
2979790,145,19046812110013911000000000U0,ESTETICA UNISEX ELIZABETH,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,EL ROBLE,CALLE,NOGAL,CALLE,CALLE DE LOS PINOS,CALLE,FRESNOS,901,A,NaN,NaN,NaN,NaN,COLONIA,HACIENDA LOS MORALES 3 SECTOR,NaN,NaN,NaN,66496,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,13,8183948892,NaN,NaN,25.71358691,-100.2451133,2014-12
9032417,145,19046812110018341000000000U5,LA CHULE  ESTETICA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CERRADA,AVENIDA CINCO,CALLE,AVENIDA C,OTRO (ESPECIFIQUE),NINGUNO,CALLE,NINGUNO,876,NaN,NaN,NaN,NaN,NaN,COLONIA,CENTRAL DE CARGA,NaN,NaN,NaN,66495,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,43,NaN,NaN,NaN,25.70988549,-100.2429875,2019-11
7563299,152,19046812110019581000000000U5,ESTETICA CABALAZ,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,CIPRES,CALLE,OMBU,CALLE,NOGAL,CALLE,HUIZACHE,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,LOS NOGALES,NaN,NaN,NaN,66430,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,36,8182873394,NaN,NaN,25.74693729,-100.2521548,2019-11
3038196,152,19046812110005601000000000U7,ESTETICA CARMEN VALDEZ,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,ARBOLEDAS DEL MEZQUITE,CALLE,LIMON,CALLE,NARANJA,CALLE,NOGALES,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,ARBOLEDAS DEL MEZQUITE,NaN,NaN,NaN,66449,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,7,NaN,NaN,NaN,25.748953,-100.2486844,2010-07
8830080,152,19046812110016701000000000U2,ESTETICA D YURI,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,A TLACHICUERIAS,AVENIDA,A TLACHICUERIAS,CALLE,AVELLANA,CALLE,MANZANO,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,RESIDENCIAL SANTO DOMINGO SECTOR 1,NaN,NaN,NaN,66448,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,5,NaN,NaN,NaN,25.75049001,-100.2510525,2019-11
7563294,152,19046812110019571000000000U6,ESTETICA LUNA,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,A TLACHICUERIAS,CALLE,NOGALES,CALLE,ALMENDRA,PRIVADA,CEREZO,701,NaN,NaN,NaN,NaN,NaN,COLONIA,ARBOLEDAS DEL MEZQUITE,NaN,NaN,NaN,66449,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,47,NaN,NaN,NaN,25.7501726,-100.2503725,2019-11
3038192,152,19046812110008981000000000U0,ESTETICA MARVAL,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,ARROYO,CALLE,CORONEL JOSE MARIA SEGURA,CALLE,LICENCIADO RAMON GARCES,CALLE,NOGAL,506,NaN,NaN,NaN,NaN,NaN,COLONIA,LOS NOGALES,NaN,NaN,NaN,66430,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,48,8183823102,NaN,NaN,25.74650929,-100.2551313,2010-07
2975869,152,19046812110012461000000000U7,ESTETICA UNISEX D PIG,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,CHOPO,CALLE,ANTIGUO CAMINO A LAGRANGE,CALLE,JACARANDA,CALLE,ENCINO,NaN,SN,NaN,NaN,NaN,NaN,COLONIA,ARBOLEDAS DE SANTO DOMINGO,NaN,NaN,NaN,66448,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,23,NaN,NaN,NaN,25.74957409,-100.253211,2014-12
7563293,152,19046812110019561000000000U7,ESTETICA UNISEX RAQUEL,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,A TLACHICUERIAS,AVENIDA,A TLACHICUERIAS,CALLE,AVELLANA,CALLE,MANZANO,611,NaN,NaN,NaN,NaN,NaN,COLONIA,RESIDENCIAL SANTO DOMINGO SECTOR 1,NaN,NaN,NaN,66448,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,5,NaN,NaN,NaN,25.75050993,-100.2510962,2019-11
2974513,177,19046812110011881000000000U7,ESTETÍCA ANGY,NaN,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,CALLE DEL ARRIATE,CALLE,CALLE DEL ADOQUIN,CALLE,CALLE DEL MIRADOR,CALLE,CALLE DEL ADOQUÍN,836,NaN,NaN,NaN,NaN,NaN,COLONIA,EL MIRADOR DE SAN NICOLAS (FOMERREY 129),NaN,NaN,NaN,66422,19,NUEVO LEÓN   ,46,San Nicolás de los Garza,6,NaN,NaN,NaN,25.76175373,-100.3209063,2014-12
