,AGENT.ID_x,ClientID,AGENT.ID_y
90077,22464,71809,30127
90115,17700,71837,23944
90428,13204,72089,27243
90758,20428,72365,18356
91035,16602,72594,19323
91077,14928,72630,8556
91154,19038,72680,25853
91163,21236,72686,10268
91247,20888,72749,25460
91292,19046,72788,15805
91519,13792,72980,6098
91705,19577,73133,26111
91795,20909,73208,20684
91841,31013,73248,23387
92016,18595,73390,24828
92111,24518,73472,24377
92151,15873,73496,26543
92561,11257,73840,21943
93347,16483,74500,7004
93493,1376,74619,24377
93523,18603,74640,22780
93555,9334,74661,14146
93890,14093,74932,16325
93934,16626,74960,14629
93989,18022,75003,25076
94022,21213,75030,17278
94222,20805,75194,5576
94273,8464,75235,22909
94289,10805,75244,29138
94312,21603,75258,25163
94331,2392,75271,24653
94485,21040,75396,26869
94649,19416,75530,10898
94738,18107,75604,5691
94757,20429,75620,2861
94795,14506,75652,28006
94810,9572,75659,11350
94955,19537,75774,25637
95021,20079,75825,25983
95025,1736,75826,8556
95073,15398,75865,343
95125,12752,75908,10070
95539,6169,76215,17278
95599,15544,76266,25443
95982,19731,76565,25957
96162,13266,76718,29054
96187,8464,76740,25957
96418,11370,76941,14023
96490,30621,77003,23944
96781,11018,77224,6510
97176,14493,77562,9517
97259,16558,77624,8409
97282,10838,77644,24095
97344,15974,77692,25983
97399,16783,77741,23623
97846,27858,78093,30427
98629,19093,78750,26267
98693,17490,78795,26981
98871,13326,78924,28210
99002,6006,79033,6527
99021,21270,79045,25272
99042,21380,79056,12325
99184,8775,79158,30754
99270,19799,79218,3048
99297,15818,79239,23752
99369,17970,79296,10340
99390,8865,79311,26763
99451,19008,79360,28006
99460,17141,79366,26932
99468,82,79371,12875
99500,20564,79394,4428
99560,11809,79436,19710
99760,4044,79600,5803
99810,12634,79629,24537
100063,21008,79822,24265
100077,3377,79833,16994
100191,8464,79923,16558
100415,15477,80114,10021
100434,18851,80130,25333
100460,17445,80153,16558
100520,4685,80194,3890
100599,20283,80248,22589
100688,1722,80322,26327
100712,24518,80339,25393
100880,8764,80479,19805
101029,17346,80607,26543
101113,16602,80670,30621
101146,17140,80694,25270
101256,15333,80783,25265
101664,18171,81110,26267
101693,14970,81136,21662
101731,9061,81168,27635
101958,1992,81350,24170
102152,6638,81496,6428
102514,21622,81795,25272
102567,18938,81831,14023
102620,21626,81868,7004
102634,13823,81874,24492
102724,19150,81945,25910
103240,15923,82351,14023
103769,21916,82784,1665
103788,2820,82794,24377
104190,8077,83126,13526
104337,16483,83243,7004
104474,15830,83353,15521
104485,16193,83361,17416
104671,17999,83515,13455
104752,17492,83581,24095
104776,7905,83599,11348
104994,8335,83775,14837
105038,19119,83804,30002
105249,17675,83973,11787
105365,16895,84061,19389
105581,17725,84231,23031
105623,9718,84264,27176
105719,16602,84351,30621
105902,18713,84492,24095
105952,15768,84533,21603
106356,20046,84859,14978
106375,19645,84875,10662
106456,9764,84941,10681
106560,17136,85024,17597
106600,7194,85052,23402
106696,19895,85124,30621
107435,18851,85731,18030
107480,13266,85770,23100
107543,12632,85818,15011
107569,1722,85841,9910
107611,9540,85871,6567
107794,11599,86012,25801
108168,13213,86302,5862
108205,21451,86336,25637
108234,17587,86356,12967
108262,4329,86378,15107
108306,19538,86413,8556
108551,16018,86613,24377
108626,21194,86663,23244
108726,19332,86741,28210
108778,18434,86775,3288
108899,27625,86862,26267
109074,1736,86982,25333
109300,11026,87171,21603
109488,10864,87318,24282
109523,24052,87342,23294
109611,20515,87407,18023
109727,23311,87509,26543
109845,16832,87596,8122
109918,27621,87651,26289
109970,24424,87690,26993
110148,17790,87843,18804
110596,14093,88206,21185
110728,13233,88307,26740
110849,22428,88413,23792
110980,23311,88522,25315
111062,4744,88576,24827
111107,16485,88609,5827
111132,5590,88628,12882
111346,18735,88788,7753
111367,5692,88806,22443
111381,3914,88817,26456
111433,21417,88857,26696
111521,2476,88927,21553
111573,13759,88967,18408
111620,22820,88993,9178
111695,17445,89052,15169
112036,13028,89306,2420
112061,27858,89328,25205
112273,17445,89483,24555
112457,17416,89626,8556
112565,17970,89716,22543
112615,18851,89763,24095
112725,2580,89852,6275
112779,18924,89897,26114
113226,18175,90269,7071
113591,12451,90577,9865
113596,21170,90579,22454
113723,14143,90673,24924
114068,22081,90949,9025
114189,15044,91037,14975
114311,18944,91147,14458
114315,19567,91148,21662
114395,15743,91213,10048
114535,9892,91326,15502
114569,17200,91354,14707
114652,8819,91419,8556
114657,16558,91420,25272
114680,18735,91430,19548
114688,4715,91435,21662
114798,10970,91513,24614
114984,15275,91654,3288
115050,11269,91708,19538
115110,17416,91753,21109
115495,24377,92065,26740
115596,21622,92141,25957
115607,16774,92149,25466
115765,21624,92268,17700
115974,28625,92444,1549
116076,9060,92524,8464
116105,14280,92543,17951
116149,24377,92577,25751
116200,24424,92614,26993
116215,18173,92622,25163
116420,29495,92782,27918
116589,18107,92918,7342
116762,13235,93061,21662
117062,7121,93304,14222
117075,21246,93314,26434
117211,22954,93414,23195
117322,7474,93487,25939
117506,8372,93635,27532
117692,4770,93791,3838
118047,21364,94056,18703
118053,21270,94059,27032
118137,20514,94133,10662
118435,2307,94370,16542
118442,30292,94373,29054
118655,20564,94545,6098
118677,16558,94553,18156
118765,577,94626,13956
118959,16264,94787,14590
118974,20356,94794,19389
119447,12036,95177,14571
119492,16483,95210,7004
119592,4482,95281,11088
119949,6538,95575,18616
119985,2833,95604,21572
120119,1118,95716,15591
120125,17437,95719,25589
120189,5384,95765,26521
120301,14301,95859,13841
120386,1736,95935,25076
120478,4036,96009,26119
120630,20314,96131,6421
120814,9440,96267,25203
120877,10476,96312,15173
120921,14022,96341,1344
120973,20428,96384,24377
121008,21311,96410,12325
121193,8181,96559,25062
121200,15874,96563,8976
121323,5569,96659,2966
121433,7846,96745,18195
121840,4700,97077,30141
122338,1736,97461,24828
122357,22807,97476,18156
122371,17074,97483,22910
122683,16558,97735,13968
122753,21943,97786,2766
122773,15398,97800,343
122955,10719,97949,6098
123000,3366,97979,22881
123127,19835,98077,9682
123218,16483,98150,7004
123352,22473,98253,14629
123546,16558,98418,25272
123590,19492,98452,23840
123613,12632,98466,7484
123647,15974,98491,24377
123743,5252,98563,30754
123786,21269,98591,8409
123886,11618,98679,26434
123961,18480,98745,7174
124050,8137,98816,23623
124073,13276,98831,24095
124080,20311,98835,4632
124600,6960,99238,23778
124608,27740,99243,14629
124680,5389,99306,23462
124755,10626,99378,18616
125137,21626,99699,7004
125229,16009,99781,14085
125240,18735,99786,16757
125532,13202,100021,20480
125736,5763,100180,11026
126018,28622,100414,25801
126152,17999,100518,12240
126323,13862,100653,12393
126604,17445,100877,28788
126668,16483,100926,7004
126752,11942,100989,28131
126956,9570,101163,24624
126964,25324,101167,27659
126999,19831,101185,8122
127020,2195,101200,25667
127033,15400,101207,3453
127150,18637,101309,15270
127162,19742,101315,4833
127211,30626,101355,24820
127222,20718,101358,25142
127276,11788,101396,17278
127474,16024,101539,11026
127511,14867,101570,24377
127619,18218,101663,18356
127633,19851,101674,9865
127638,13203,101676,6098
127658,12514,101693,6023
127713,21739,101742,24706
127743,21249,101763,16909
127892,6065,101891,19710
128027,27588,102008,3215
128057,13044,102029,30427
128115,21270,102075,8409
128171,10366,102117,20819
128398,16558,102307,22909
128519,13965,102403,26740
128670,22154,102518,11462
128977,1329,102789,26543
129012,5192,102815,23879
129129,18478,102914,14739
129153,17937,102932,11950
129221,17700,102990,4833
129290,4164,103046,28131
129299,18171,103052,15772
129350,18434,103094,30292
129492,5275,103212,26480
129801,22838,103461,29418
129986,13979,103597,24199
130116,19489,103700,8556
130163,23135,103740,6605
130173,14454,103743,18735
130299,30351,103851,15656
130366,29420,103915,16389
130434,3070,103965,25252
130618,20019,104110,15805
130632,22807,104120,16986
130642,18286,104123,2977
130759,15610,104216,19328
130802,19935,104244,10149
130820,17529,104256,18700
130824,5789,104257,21553
130834,27715,104264,22780
131041,27699,104435,2755
131139,21601,104506,25706
131233,10681,104579,25393
131335,11308,104660,15821
131620,15974,104894,25983
131799,18136,105020,23623
131804,21698,105022,293
131812,22290,105027,24095
131831,11880,105043,10268
131845,15244,105054,3900
131863,10241,105066,2476
131867,20312,105067,21096
131928,15738,105119,17818
132036,22224,105189,25641
132139,13053,105252,4632
132666,27588,105682,24095
132727,7870,105720,22543
132791,13967,105769,18023
132806,12274,105781,24638
132818,14293,105785,18700
132941,14095,105887,30621
132957,21603,105895,25163
133147,25488,106058,22588
133412,3708,106266,8351
133458,21070,106300,18804
133526,14099,106353,14347
133622,22246,106434,14135
133664,18177,106456,24306
133709,12274,106498,24638
133734,6603,106520,26400
133842,21464,106601,26579
133929,11151,106676,25413
134147,16753,106861,18921
134321,495,106999,1536
134417,22107,107074,26164
134662,20616,107264,6527
134700,18499,107292,15830
134744,2392,107322,8981
134752,12774,107327,15194
134781,20904,107350,26995
134982,12955,107506,7195
135015,8164,107533,25483
135275,19490,107733,17278
135604,21738,108011,5138
135754,16442,108123,22555
135769,7037,108132,9410
135964,13500,108291,3111
136323,20768,108585,11415
136327,13326,108586,23623
136372,9060,108611,24555
