ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
6214913,19046812110010241000000000U5,CHIQUIS ESTETICA UNISEX,ESTÉTICA MARY LU ,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,DERECHOS DEL TRABAJADOR,CALLE,MARTIRES DE RIO BLANCO,PEATONAL,MARTIRES DE CHICAGO,PEATONAL,PLAN DE LA GARANTÍA DE LA LIBERTAD,304,A,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 4,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1252,014,,,,Fijo,25.71466849,-100.2631375,2010-07
7678568,19046812110015401000000000U0,EL SALON ESTETICA,EL SALON ESTETICA ,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,LAGO ONTARIO,CALLE,LAGO SUPERIOR,AVENIDA,LAS TORRES,CALLE,LAGO DE JACO,,SN,,,,,COLONIA,LOS ANGELES 5 SEC,,,,66470,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1106,062,,,,Fijo,25.72603007,-100.2227569,2019-11
8506289,19046812110016221000000000U1,ESRETICA CORALINE,ESTETICA CORALINE ,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,LOS PINOS,CALLE,TOLEDO,AVENIDA,PALERMO,CALLE,MONTECARLO,545,,,,,,COLONIA,LOS ANGELES,,,,66478,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0682,018,,,,Fijo,25.72854689,-100.2318975,2019-11
8461918,19046812110020541000000000U6,ESTETICA,ESTETICA ,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,LOS PINOS,CALLE,RIO LA SILLA,CALLE,RIO RAMOS,CALLE,RÍO GRIJALVA,221,B,,,,,COLONIA,VILLAS DE ORIENTE,,,,66470,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1356,052,,,,Fijo,25.72826846,-100.2410841,2019-11
8461972,19046812110020551000000000U5,ESTETICA,ESTETICA ,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,ZANZIBAR,CALLE,BAGDAD,CALLE,OJO DE AGUA,AVENIDA,NOGALAR SUR,213,,,,,,COLONIA,FUTURO NOGALAR,,,,66484,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0324,014,,,,Fijo,25.71332402,-100.2813706,2019-11
7678635,19046812110015461000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,CASA BLANCA,AVENIDA,FENIX,CALLE,SAN DIONISIO,CALLE,SAN VALENTÍN,1334,,,,,,COLONIA,RESIDENCIAL SAN CRISTOBAL,,,,66477,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1591,007,8182539757,,,Fijo,25.73418971,-100.2169301,2019-11
7678680,19046812110015481000000000U2,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,SAN PATRICIO,CALLE,SAN CRISTOBAL,CALLE,ORION,CALLE,SAN PEDRO,,SN,,,,,COLONIA,VILLAS DE SAN CRISTOBAL,,,,66478,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1591,032,8115726678,,,Fijo,25.73238229,-100.2131251,2019-11
7679084,19046812110015491000000000U1,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,PALERMO,CALLE,SORRENTO,CALLE,VALLADOLID,CALLE,PAMPLONA,0,SN,,,0,,COLONIA,LOS ANGELES PRIMER SECTOR,,,,66478,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1093,006,,,,Fijo,25.72972408,-100.2328233,2019-11
7656557,19046812110019631000000000U8,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,DIPUTADO GERZAYN R. UGARTE,CALLE,DIPUTADO FERNANDO GOMEZ PALACIO,CALLE,SILVESTRE DORADOR,CALLE,DIPUTADO ALMICAR VIDAL,503,A,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 2,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1248,023,,,,Fijo,25.71638705,-100.2608299,2019-11
7656740,19046812110019691000000000U2,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,CHIHUAHUA,CALLE,MARIA CAMARA VELEZ,CALLE,CUITLAHUAC,CALLE,NOCHEBUENA,311,,,,,,COLONIA,PASEO DEL NOGALAR,,,,66489,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,113A,029,,,,Fijo,25.72429363,-100.2695906,2019-11
7656893,19046812110019751000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,FUNDIDORES,CALLE,RIO PABLILLOS,CALLE,RIO GRANDE,CALLE,RÍO GUADALQUIVIR,,SN,,,,,COLONIA,VILLAS DE ORIENTE,,,,66470,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1356,021,8180104712,,,Fijo,25.73055042,-100.2454021,2019-11
7656959,19046812110019781000000000U1,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,RIO GRIJALVA,CALLE,RIO SENA,CALLE,RIO RAMOS,CALLE,RÍO BRAVO,219,,,,,,COLONIA,VILLAS DE ORIENTE,,,,66470,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1356,050,8121632630,,,Fijo,25.7286318,-100.2419971,2019-11
7657128,19046812110019841000000000U3,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,SEVILLA,CALLE,LAGO TITICACA,CALLE,LAGO DE PATZCUARO,CALLE,CÓRDOBA,322,,,,,,COLONIA,ANDALUCIA,,,,66470,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1159,024,8124237027,,,Fijo,25.72256175,-100.2423947,2019-11
7657311,19046812110019891000000000U8,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,G. M. NAVARRO,CALLE,FRANCISCO MARTINEZ DEL CAMPO,CALLE,BRUNO MORENO,ANDADOR,LUIS FERNÁNDEZ MARTÍNEZ,405,,,,,,COLONIA,CONSTITUYENTES DE QUERETARO,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0714,013,,,,Fijo,25.72152213,-100.2555587,2019-11
7657914,19046812110020131000000000U6,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,LISBOA,CALLE,ESTOCOLMO,CALLE,BRUSELAS,CALLE,PARÍS,507,,,,,,COLONIA,BOSQUES DEL NOGALAR 2DO SECT,,,,66480,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,031A,018,,,,Fijo,25.71339745,-100.2766246,2019-11
2977046,19046812110013891000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,LICENCIADO JOSE MARIA PINO SUAREZ,CALLE,GENERAL SIMON BOLIVAR,CALLE,GENERAL TERAN,CALLE,GENERAL TERÁN,,SN,,,,,COLONIA,CENTRO,,,,66400,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0146,040,8180570456,,,Fijo,25.75091908,-100.2864572,2014-12
8642381,19046812110016521000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,LICENCIADO AARON SAENZ,CALLE,EDUARDO LIVAS VILLARREAL,CALLE,GENERAL ANTONIO I. VILLARREAL,CALLE,RAÚL RANGEL FRÍAS,,SN,,,,,COLONIA,PEÑA GUERRA,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0343,019,,,,Fijo,25.71729491,-100.2558504,2019-11
8830119,19046812110016721000000000U0,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,MANUEL DE LA  PEÑA Y PEÑA,CALLE,VICENTE ACOSTA,CALLE,MARISCAL CAMARGO,CALLE,IGNACIO HIDALGO,,SN,,,,,COLONIA,VALLE DE SANTO DOMINGO FOMERREY 34,,,,66447,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,095A,033,8116051921,,,Fijo,25.74577654,-100.2577225,2019-11
8684212,19046812110014211000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,XICOTENCATL,CALLE,FRANCISCO VILLA,CALLE,CHIHUAHUA,CALLE,MARÍA CAMARA VÉLEZ,,SN,,,,,COLONIA,FLORIDOS BOSQUES DEL NOGALAR (FOMERREY 90),,,,66486,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1233,006,,,,Fijo,25.72350924,-100.2691716,2019-11
8684507,19046812110014331000000000U0,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,TORREMOLINOS,CALLE,GRANADA,CALLE,SEVILLA,CALLE,MORÓN,502,,,,,,COLONIA,ANDALUCIA,,,,66470,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1159,017,,,,Fijo,25.72359021,-100.2428638,2019-11
3054091,19046812110001301000000000U8,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,PUERTO CORTEZ,CALLE,FELIPE ÁNGELES,AVENIDA,MARIO J. MONTEMAYOR,CALLE,PUERTO REAL,812,,,,,,COLONIA,NUEVO MUNDO SECT 2,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1271,018,8183775173,,,Fijo,25.70952131,-100.2465164,2010-07
2978361,19046812110012491000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,MANZANARES,CALLE,CALLE DE LOS GRANDES LAGOS,PRIVADA,HAMBURGO,CALLE,SAN TELMO,1212,,,,,,COLONIA,LOS ANGELES 3ER SECTOR,,,,66478,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1110,001,8183219831,,,Fijo,25.73152614,-100.2201924,2014-12
2977888,19046812110012111000000000U8,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,CONFEDERACION DE TRABAJADORES DE MEXICO,PEATONAL,DE LA LIBERTAD,PEATONAL,DERECHO DE HUELGA,CALLE,DE LA LIBERTAD,704,,,,,,COLONIA,CONSTITUYENTES DE QUERETARO 4 SECTOR,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1252,030,,,,Fijo,25.71270337,-100.2625028,2014-12
2977897,19046812110013291000000000U7,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,ROMULO GARZA,PEATONAL,P.DE 1917,PEATONAL,PEATONAL DE LA LIBERTAD,PEATONAL,PEATONAL DE LAS GARANTÍAS INDIVIDUALES,,SN,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 4,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1252,031,,,,Fijo,25.71200375,-100.2622577,2014-12
2977967,19046812110010981000000000U6,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,ANDADOR,NINGUNO,AVENIDA,ROMULO GARZA,AVENIDA,ROBERTO GARZA SADA,ANDADOR,NINGUNO,509,A,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 2,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0343,058,,,,Fijo,25.71292957,-100.2601609,2014-12
2978218,19046812110012291000000000U8,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,VALLADOLID,CALLE,NAPOLES,CALLE,FLORENCIA,CALLE,MADRID,0,SN,,,0,,COLONIA,LOS ANGELES SECT 1,,,,66478,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1093,014,,,,Fijo,25.72970131,-100.2352101,2014-12
3003491,19046812110011911000000000U2,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,TEXCOCO,CALLE,XICOTENCATL,CALLE,CUITLAHUAC,CALLE,LICENCIADO ADOLFO LÓPEZ MATEOS,208,B,,,,,COLONIA,AZTECA,,,,66480,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1233,030,,,,Fijo,25.71909714,-100.2670919,2010-07
3026386,19046812110002331000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,JAPONESES,CALLE,CHINOS,CALLE,SUECOS,CALLE,ÁRABES,,SN,,,,,COLONIA,CARMEN ROMANO DE LOPEZ PORTILLO (FOMERREY 27),,,,66444,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1125,027,8183832764,,,Fijo,25.72691553,-100.2752394,2010-07
3026478,19046812110002351000000000U2,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,NOCHEBUENA,CALLE,DURANGO,CALLE,GUSTAVO DIAZ ORDAZ,CALLE,AMAPOLA,109,,,,0,,COLONIA,PASEO DEL NOGALAR,,,,66480,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,120A,024,8119060252,,,Fijo,25.72329271,-100.2731559,2010-07
2977753,19046812110010661000000000U4,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,IGNACIO DE LA LLAVE,PEATONAL,LA REFORMA,CALLE,IGNACIO MANUEL ALTAMIRANO,PEATONAL,JOSÉ SILVESTRE ARAMBERRI,521,,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 6,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1267,033,,,,Fijo,25.70914523,-100.2702155,2014-12
2977755,19046812110012241000000000U3,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,IGNACIO DE LA LLAVE,PEATONAL,LA REFORMA,CALLE,PROLONGACION CHURUBUSCO,PEATONAL,JOSÉ SILVESTRE ARAMBERRI,409,,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 6,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1267,034,,,,Fijo,25.70924896,-100.2686548,2014-12
2977760,19046812110013271000000000U9,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,IGNACIO RAMIREZ,CALLE,LERDO DE TEJADA,CALLE,GUILLERMO PRIETO,PEATONAL,CALLE DEL 57,420,,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 5,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1267,002,,,,Fijo,25.71264848,-100.266952,2014-12
2977761,19046812110011851000000000U0,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,GUILLERMO PRIETO,CALLE,IGNACIO RAMIREZ,PEATONAL,CALLE DEL 57,CALLE,LERDO DE TEJADA,,SN,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 5,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1267,002,,,,Fijo,25.71232577,-100.2667537,2014-12
3029334,19046812110008511000000000U5,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,AVENIDA,LOS PINOS,CALLE,TOLEDO,AVENIDA,PALERMO,CALLE,MONTECARLO,,SN,,,,,COLONIA,LOS ANGELES,,,,66478,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0682,018,,,,Fijo,25.7287993,-100.231205,2010-07
3035674,19046812110003061000000000U6,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,NICEFORO ZAMBRANO,CALLE,RAUL MURRIETA,CALLE,DIPUTADO AMADOR LOZANO,CALLE,DIPUTADO LUIS M. ROJAS,303,D,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 2,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0343,021,8182142646,,,Fijo,25.71455732,-100.2590081,2010-07
3035698,19046812110000721000000000U8,ESTETICA,,812110,Salones y clínicas de belleza y peluquerías,0 a 5 personas,CALLE,HERIBERTO JARA,ANDADOR,NINGUNO,CALLE,EJERCITO CONSTITUCIONALISTA,CALLE,DIPUTADO FROYLAN MANJARREZ,435,A,,,,,COLONIA,CONSTITUYENTES DE QUERETARO SECT 1,,,,66490,19,NUEVO LEÓN   ,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,1604,030,,,,Fijo,25.71566399,-100.2529239,2010-07
